name,causes,homeRemedies,yogaLink,precaution,image,keyword,mId,category
Acoustic neuroma,"Acoustic neuroma, also known as vestibular schwannoma, is a noncancerous and usually slow-growing tumor that develops on the main(vestibular) nerve leading from your inner ear to your brain.The cause of acoustic neuromas can be linked to a problem with a gene 
on chromosome 22. Normally, this gene produces a tumor suppressor protein that helps control the growth of Schwann cells covering the nerves.Experts don't know what causes this problem with the gene. In most cases of acoustic neuroma, there is no known cause.Hearing loss, usually gradually worsening over months to years — although in rare cases sudden — and occurring on only one side or more severe on one side Ringing (tinnitus) in the affected ear,Unsteadiness or loss of balance,Dizziness (vertigo),Facial numbness and weakness or loss of muscle movement","There are no known home or natural remedies to prevent or treat this condition. Acoustic neuromas are sometimes referred to as vestibular schwannomas. Schwannomas are a category of tumors that form on the sheath (protective covering) of nerve cells called Schwann cells, according to the National Cancer Institute",No yoga is available,"DIET RECOMMENDATIONS (AAHAR)Since ear problems are associated with an imbalance in the kapha dosha, a diet that does not vitiate the kapha dosha, should be followed. The following dietary guidelines must be followed: -Avoid sour foods as they impair the kapha dosha. These include sour fruits and curds.Fruits like bananas, watermelons, oranges, papayas and cucumbers must be avoided since the increase the risk common cold. This would aggravate the ear problem. All refrigerated foods must also be avoided for the same reason
Onion, ginger and garlic should be preferred during ear  problems Turmeric is also very good remedy for infections, and must be used for spicing the meals.
Follow a kapha soothing diet in general
Stress on breastfeeding for infants
Avoid processed and oily food",https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652681154232_Acoustic neuroma.jpg?alt=media&token=image,"Acoustic neuroma,ear infection,km sunai dena,behra ho jana,sunne me dikkat hona,ear problem","6284af80e88911a758b9a5e1,6284af80e88911a758b9a5e2,6284af80e88911a758b9a5e3",627fc797c84867d544bd39f4
Deafness,"Muffling of speech and other sounds,Difficulty understanding words, especially against background noise or in a crowd,Trouble hearing consonants,Frequently asking others to speak more slowly, clearly and loudly,Needing to turn up the volume of the television or radio,Withdrawal from conversations,Avoidance of some social settingsYour ear consists of three major areas: outer ear, middle ear and inner ear. Sound waves pass through the outer ear and cause vibrations at the eardrum. The eardrum and three small bones of the middle ear amplify the vibrations as they travel to the inner ear. There, the vibrations pass through fluid in a snail-shaped structure in the inner ear (cochlea).",Neem oil is quite a beneficial home remedy for hearing loss Put 2-3 drops of warm lukewarm neem oil into the affected but only after consulting a doctor. Caste some Suhaga (Borax) in ear and after immediately drop 4-5 drops of lemon juice. warm oil 4-5 drops after cooling in ear.,https://www.youtube.com/embed/eLtsSzG8XYI,"Avoid Too Much Noise. How loud is too loud? ,Be a Quiet Enforcer,Limit Loud ,Sounds in Your Life,Wear Hearing Protection,Don't Smoke,Remove Earwax Properly,Check Medications for Hearing Risks,Have Your Hearing Tested.",https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652681244884_Deafness.jpg?alt=media&token=image,"Deafness,ear infection,km sunai dena,behra ho jana,sunne me dikkat hona,ear problem","6284af80e88911a758b9a5e4,6284af80e88911a758b9a5e5,",627fc797c84867d544bd39f4
Earache/Hearing loss,"Pain in one or both ears,Dizziness or vertigo,Ringing in the ears, called tinnitus,Pressure or fullness in one or  both ears,When your hearing is normal, sound waves enter your outer ear and cause your eardrum and middle ear  bones to vibrate. The sound waves then travel through your inner ear, which is a shell-shaped, fluid-filled tube
called the cochlea. As the fluid moves, it sets in motion thousands of tiny hairs that convert the sound vibrations  into nerve signals. Those signals go to your brain where they are turned into sounds you can recognize.

","1.Garlic-Garlic is one of the most popular earache home remedies. This spice has anti-inflammatory 
properties which not only lowers inflammation in and around the ear canal but also relieves congestion, 
thereby alleviating ear pain.How to use it: You can either eat two-three raw garlic cloves to get rid 
of an earache naturally or use it in the crushed form. For this, warm three cloves of garlic and mash it
with a pinch of salt. Wrap the mixture in a cloth and place it on the ear that pains. You can even use 
garlic oil, which is available online, for an earache.,2. Holy basil-The leaves of holy basil (tulsi) are
considered to be an effective ear pain remedy in Ayurvedic medicine. The juice of the leaves is packed 
with anti-inflammatory, antioxidant, antimicrobial and immunomodulatory properties, which not only helps
relieve ear pain but can also improve symptoms of ear infection.How to use it: Crush few tulsi leaves
in a mortar and pestle. Strain the juice before using it. Add one to two drops in the ear to relieve 
the pain. However, if it fails to show any improvement even after two to three days, do not hesitate to 
consult a doctor to get it treated immediately.Also Read: Benefits of Arjuna for Ear pain,3. Cloves-
Cloves can also be used ear pain remedies. It has analgesic (pain relieving) and anti-inflammatory 
(reduce inflammation) properties which help in soothing ear pain and treating an ear infection.
How to use it: Clove oil is widely used as an effective home remedy for ear pain. To prepare clove oil,
saute a clove in a teaspoon of sesame (til) oil. Bring it to a boil and let it cool down. Filter the 
oil and put one to two drops of the warm oil in the affected ear. Do this three to four times daily for
three days for effective relief.4. Olive oil-Although there is limited research evidence on the use of
 olive oil to ease ear pain, the American Academy of Pediatrics (AAP) recommends olive oil as an effective 
home remedy for mild to moderate ear pain. However, it is always advised to discuss the use of olive oil 
in your ear to soothe an earache with your doctor first, especially if you are planning to use it for kids.
How to use it: Warm a teaspoon of olive oil and allow it to cool. Pour one to two drops of the oil in the 
affected ear. Ensure to check the temperature of the oil before use as using hot oil can burn the eardrum,
",https://www.youtube.com/embed/m0KyMjCpbgM,"Avoid smoking and exposure to secondhand smoke,
Keep foreign objects out of the ear.,Dry the ears after swimming or bathing.",https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652681274770_hearing loss & deafness.png?alt=media&token=image,"Earache/Hearing loss,ear infection,km sunai dena,behra ho jana,sunne me dikkat hona,ear problem","6284af80e88911a758b9a5e9,6284af80e88911a758b9a5e7",627fc797c84867d544bd39f4
Ear infection,"An ear infection is caused by a bacterium or virus in the middle ear. This infection often results from  another illness — cold, flu or allergy  that causes congestion and swelling of the nasal passages,throat and eustachian tubes.Ear pain, especially when lying down,Tugging or pulling at an ear Trouble sleeping,Crying more than usual,Fussiness,Trouble hearing or responding to sounds,Loss of balance Fever of 100 F (38 C) or higher,Drainage of fluid from the ear,Headache,Loss of appetite","1.Garlic-Garlic is one of the most popular earache home remedies. This spice has anti-inflammatory 
properties which not only lowers inflammation in and around the ear canal but also relieves congestion, 
thereby alleviating ear pain.How to use it: You can either eat two-three raw garlic cloves to get rid 
of an earache naturally or use it in the crushed form. For this, warm three cloves of garlic and mash it
with a pinch of salt. Wrap the mixture in a cloth and place it on the ear that pains. You can even use 
garlic oil, which is available online, for an earache.,2. Holy basil-The leaves of holy basil (tulsi) are
considered to be an effective ear pain remedy in Ayurvedic medicine. The juice of the leaves is packed 
with anti-inflammatory, antioxidant, antimicrobial and immunomodulatory properties, which not only helps
relieve ear pain but can also improve symptoms of ear infection.How to use it: Crush few tulsi leaves
in a mortar and pestle. Strain the juice before using it. Add one to two drops in the ear to relieve 
the pain. However, if it fails to show any improvement even after two to three days, do not hesitate to 
consult a doctor to get it treated immediately.Also Read: Benefits of Arjuna for Ear pain.",No yoga is available,"Vaccinate your child. Make sure your child is up to date on ,vaccinations,Wash your hands,Breastfeed,Avoid bottles in bed,Avoid smoke exposure,Decrease pacifier use,Switch your child to a smaller daycare center.",https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652681292731_Ear infection.jpg?alt=media&token=image,"Ear infection,ear infection,km sunai dena,behra ho jana,sunne me dikkat hona,ear problem","6284af80e88911a758b9a5e6,6284af80e88911a758b9a5e7,6284af80e88911a758b9a5e8",627fc797c84867d544bd39f4
Ear wax,"The wax in your ears is secreted by glands in the skin that lines the outer half of your ear canals. The wax and tiny hairs in these passages trap dust and other foreign particles that could damage deeper structures, such as your eardrum.In most people, a small amount of earwax regularly makes its way to the opening of the ear, where it's washed away or falls out as new wax is secreted to replace it. If you secrete an excessive amount of wax or if earwax isn't cleared effectively, it may build up and block your ear canal.Earwax blockages commonly occur when people try to clean their ears on their own by placing cotton swabs or other items in their ears. This often just pushes wax deeper into the ear, rather than removingit .Earache, Feeling of fullness in the affected ear,Ringing or noises in the ear (tinnitus), Decreased hearing in the affected ear,Dizziness,Cough","Soften the wax.
Use an eyedropper to apply a few drops of baby oil, mineral oil, glycerin or hydrogen peroxide in your ear canal.
Use warm water.
After a day or two, when the wax is softened, use a rubber-bulb syringe to gently squirt warm water into your ear canal. Tilt your head and pull your outer ear up and back to straighten your ear canal. When finished irrigating, tip your head to the side to let the water drain out.
Dry your ear canal.
When finished, gently dry your outer ear with a towel or hand-held dryer.",No yoga is available,"Use wax-softening drops or oil twice a week, or according to the manufacturer's instructions,Avoid cleaning the ear canals with cotton buds or fingertips, as any object poked into the ear can compact the wax,Limit ear cleaning to the outer ear only.",https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652681321104_Ear wax.jpg?alt=media&token=image,"Ear wax,","6284af80e88911a758b9a5e6,6284af80e88911a758b9a5e7,6284af80e88911a758b9a5e8",627fc797c84867d544bd39f4
labyrinthitis,"dizziness,vertigo,loss of balance,nausea and vomiting,tinnitus, which is characterized by a ringing or buzzing in your ear,loss of hearing in the high-frequency range in one ear,difficulty focusing your eyes.
Labyrinthitis can occur at any age. A variety of factors can cause labyrinthitis, including: respiratory illnesses, such as bronchitis,viral infections of the inner ear,stomach viruses, herpes viruses,,bacterial infections, including bacterial middle ear infections,infectious organisms, such as the organism that causes Lyme disease","Use a warm compress over the ear may ease pain.
Stand or keep your head upright. Sitting can help drain the earA saltwater gargle may help clear Eustachian tubes, and ,soothe a sore throat that may accompany labyrinthitis.
Do not smoke and limit alcohol intake,Use stress management techniques to control emotional and psychological stress, as stress can worsen symptoms.
Over-the-counter (OTC) medications, for example, acetaminophen (Tylenol) or ibuprofen (Advil, Motrin) may relieve pain. Do not give children and teenagers aspirin as this has been linked with a serious condition called Reye's syndrome,If your doctor approves, OTC eardrops may be used to relieve pain. Eardrops should not be used in children with tympanostomy tubes (ear tubes) unless specifically prescribed by your child’s pediatrician,AVOID cold and cough medicines in young children, as these can have dangerous side effects.",https://www.youtube.com/embed/eizRySMdK5I,wash your hands regularly and try to avoid germs during cold and flu season.,https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652681339167_labyrinthitis.jpg?alt=media&token=image,"labyrinthitis,ear infection,km sunai dena,behra ho jana,sunne me dikkat hona,ear problem","6284af80e88911a758b9a5e8,6284af80e88911a758b9a5e9,",627fc797c84867d544bd39f4
Meniere's disease  ,"Recurring episodes of vertigo. You have a spinning sensation that starts and stops spontaneously. Episodes of  vertigo occur without warning and usually last 20 minutes to several hours, but not more than 24 hours. Severe  vertigo can cause nausea.Hearing loss. Hearing loss in Meniere's disease may come and go, particularly early on.
Eventually, most people have some permanent hearing loss. Ringing in the ear (tinnitus). Tinnitus is the perception  of a ringing, buzzing, roaring, whistling or hissing sound in your ear.Feeling of fullness in the ear. People with Meniere's disease often feel pressure in an affected ear (aural fullness).The cause of Meniere's disease is unknown. Symptoms of Meniere's disease appear to be the result of an abnormal amount of fluid (endolymph) in the inner ear,
but it isn't clear what causes that to happen.Factors that affect the fluid, which might contribute to Meniere's  disease, include:Improper fluid drainage, perhaps because of a blockage or anatomicabnormality Abnormal immune response Viral infection,Genetic predisposition",no home remedies,https://www.youtube.com/embed/NxAwHf4hFvA,"Reduce salt in your diet,Stop smoking,Avoid Alcohol and Caffein,Avoid ,exposure to loud noises,Manage stress,Use caution at home and on the job to avoid falling or having an accident if you feel dizzy.",https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652681352720_Meniere's disease.jpg?alt=media&token=image,"Meniere's disease ,ear infection,km sunai dena,behra ho jana,sunne me dikkat hona,ear problem","6284af80e88911a758b9a5e9,6284af80e88911a758b9a5ea",627fc797c84867d544bd39f4
Swimmer's ear (otitis externa),"Swimmer's ear symptoms are usually mild at first, but they can worsen if your infection isn't treated or  spreads. Doctors often classify swimmer's ear according to mild, moderate and advanced stages of progression. Your outer ear canals have natural defenses that help keep them clean and prevent infection. Protective features
include:A thin, water-repellent, slightly acidic film lines the ear canal and discourages bacterial growth. Earwax (cerumen) is an accumulation of this waxy film, dead skin cells and other debris that travels to theopening of the ear canal to keep it clean. The outer ear,  particularly around the opening of the ear canal, helps prevent foreign bodies from entering.","Hot or cold compress-Use an ice or heat pack and put it on the affected ear to help with pain. The temperature you use is up to you. But make sure to wrap it in a towel so it’s not too cold or too hot. If it’s too hot, you could cause burns.You can also alternate between a cold and warmcompress every 10 minutes,Over-the-counter (OTC) pain relievers-Pain relievers like ibuprofen and acetaminophen work as advertised, helping take the edge off the pain.Both adults and kids can rest easier when they take acetaminophen or ibuprofen at the right dosage. These medications reduce pain and fever, making you feel more comfortable.You can even take OTC pain relievers if you’re on antibiotics.
,Sleep position-How you sleep can affect ear pain. Rest with your head on two or more pillows, so your affected ear is higher than the rest of your body. Or if your left ear has an infection,  sleep on your right side.Less pressure equals less ear pain. It could be effective, though a few inches may not make a big difference in pressure measurement. But if it makes you feel better, go for it,Other remedies that may help-These other at-home remedies may provide some relief: Neck exercises. Rotating and stretching your neck can help ease pressure that’s built up in your ear canal.
Ginger. With its anti-inflammatory properties, using ginger juice around the outer ear canal (not in the ear canal) may soothe pain,Hydrogen peroxide-Place a few drops of hydrogen peroxide into your ear.After a few minutes, let it drain into a sink. Rinse off your ear.",No yoga is available,"Keep ears as dry as possible,Turn your head from side to side after getting out of water,Don't stick anything into your ear canal,Don't swim in polluted water,Do not swallow the water you swim in,Use a simple, homemade solution to help prevent bacteria from growing inside the ear.",https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652681368935_Swimmer's ear (otitis externa.jpg?alt=media&token=image,"Swimmer's ear (otitis externa),ear infection,km sunai dena,behra ho jana,sunne me dikkat hona,ear problem","6284af80e88911a758b9a5ea,6284af80e88911a758b9a5e8",627fc797c84867d544bd39f4
Tinnitus,"Tinnitus is most often described as a ringing in the ears, even though no external sound is present. However, tinnitus can also cause other types of phantom noises in your ears, including :Buzzing,Roaring ,Clicking,Hissing Humming Most people who have tinnitus have subjective tinnitus, or tinnitus that only you can hear. The noises
of tinnitus may vary in pitch from a low roar to a high squeal, and you may hear it in one or both ears. In some cases, the sound can be so loud it interferes  with your ability to concentrate or hear external sound. Tinnitus may be present all the time, or it may come and go.Hearing loss,Ear infection or ear canal blockage,Head or neck
injuries,Head or neck injuries,Medications.","Place your index fingers on top of you middle fingers and snap them (the index fingers) onto the skull making a loud, drumming noise. Repeat 40-50 times. Some people experience immediate relief with this method. Repeat several times a day for as long as necessary to reduce tinnitus.”",https://www.youtube.com/embed/uQw165bnSxo,"Protect your ears,Distance yourself from sounds,Limit time spent around, loud sounds,Use caution with earbuds,Quit smoking,Protect your heart,De-stress your life,Check your head posture.","https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652681385153_Tinnitus.jpg?alt=media&token=image"",
    ""_id"": ""6281eaa9ac7d52","Tinnitus,ear infection,km sunai dena,behra ho jana,sunne me dikkat hona,ear problem","6284af80e88911a758b9a5e1,6284af80e88911a758b9a5ea",627fc797c84867d544bd39f4
Blocked ears,"Earache,Feeling of fullness in the affected ear,Ringing or noises in the ear (tinnitus),Decreased hearing in the affected ear,Dizziness ,Cough,The wax in your ears is  secreted by glands in the skin that lines the outer  half of your ear canals. The wax and tiny hairs in these passages trap dust and other foreign particles that  could damage deeper structures, such as your eardrum.In most people, a small amount of earwax regularly makes its way to the opening of the ear, where it's washed away or falls out as new wax is secreted to replace it.If you secrete an excessive amount of wax or if earwax isn't cleared effectively, it may build up and block  your ear canal.Earwax blockages commonly occur when people try to clean their ears on their own by placing cotton swabs or other items in their ears. This often just pushes wax deeper into the ear, rather than removing it.

","Use steam. Steam can help unclog an ear when the cause is an infection or allergies,Consider mineral and essential oils. Many oils reportedly have antibiotic, antiseptic, or anti inflammatory properties,Use a warm compress,Gargle salt water.
",No yoga is available,"Auto-inflation exercises. Chewing and swallowing on ascent and descent,Nasal decongestant sprays. To apply 2-3 sprays into each nostril both 30 minutes before ascent and descent,Saline Sprays,ntranasal Steroid Sprays,Pressure regulating ear plugs.",https://firebasestorage.googleapis.com/v0/b/ayurveda-d6cac.appspot.com/o/1652681401668_Blocked ears.webp?alt=media&token=image,"Blocked ears,ear infection,km sunai dena,behra ho jana,sunne me dikkat hona,ear problem","6284af80e88911a758b9a5e1,6284af80e88911a758b9a5e7",627fc797c84867d544bd39f4
